task_type,estimated_duration,deadline_pressure,time_of_day,energy_level,mood_level,task_familiarity,reward_clarity,consequence_severity,previous_delay_count,environment_noise,device_distraction,social_obligation,friction_score,friction_level
academic,98,high,afternoon,4,8,new,unclear,1,7,medium,medium,individual,88.18,high
health,26,high,evening,9,2,repeated,moderate,3,3,low,high,family,37.21,medium
finance,18,low,afternoon,9,9,repeated,unclear,1,7,medium,high,family,32.9,low
finance,120,medium,night,1,5,repeated,clear,7,0,medium,medium,individual,60.22,medium
health,60,low,afternoon,7,6,repeated,clear,5,1,high,low,college,-4.01,low
academic,69,high,evening,6,1,repeated,unclear,5,0,low,medium,individual,57.52,medium
household,49,high,evening,2,4,repeated,clear,6,3,low,high,work,50.64,medium
academic,58,high,morning,10,7,new,moderate,1,0,medium,high,individual,46.63,medium
personal_admin,70,medium,morning,4,6,repeated,moderate,8,0,medium,medium,college,37.6,medium
communication,90,medium,morning,5,2,repeated,unclear,6,7,medium,medium,individual,61.17,medium
household,50,low,morning,5,7,repeated,moderate,9,7,medium,low,individual,19.22,low
academic,37,low,evening,7,9,new,moderate,7,4,low,high,college,49.36,medium
household,83,low,morning,10,9,repeated,unclear,5,0,low,low,college,-18.44,low
household,54,high,night,2,3,new,clear,7,1,medium,high,family,67.86,high
finance,109,medium,night,3,6,repeated,unclear,2,4,medium,low,individual,74.61,high
communication,26,high,afternoon,2,1,new,unclear,8,1,medium,low,individual,61.64,medium
personal_admin,44,high,morning,7,4,repeated,moderate,5,3,medium,high,college,55.28,medium
communication,43,high,afternoon,7,5,new,moderate,4,3,medium,high,individual,64.77,medium
academic,109,medium,evening,9,9,repeated,moderate,5,6,low,medium,family,32.28,low
finance,45,low,evening,4,3,repeated,moderate,4,6,medium,medium,college,39.78,medium
health,79,low,morning,4,9,new,moderate,6,3,low,medium,family,22.72,low
communication,72,medium,morning,6,5,repeated,unclear,10,2,high,medium,family,41.39,medium
health,11,low,morning,3,3,repeated,clear,3,4,high,low,individual,5.44,low
communication,89,low,afternoon,3,2,repeated,moderate,7,4,low,medium,family,41.21,medium
communication,75,medium,afternoon,9,9,new,moderate,8,5,low,medium,individual,42.55,medium
household,8,high,evening,7,6,new,moderate,5,5,medium,medium,work,46.71,medium
academic,80,high,morning,9,6,repeated,moderate,7,4,medium,low,individual,43.79,medium
academic,95,low,morning,2,2,new,unclear,6,0,medium,low,individual,49.94,medium
academic,63,high,night,4,8,repeated,clear,1,1,low,medium,individual,28.29,low
communication,85,medium,night,8,5,new,unclear,4,5,medium,high,work,72.21,high
household,88,medium,evening,9,10,new,unclear,7,6,low,high,work,65.13,high
communication,99,low,evening,3,6,repeated,unclear,4,4,medium,medium,individual,50.08,medium
personal_admin,30,medium,afternoon,8,9,repeated,clear,1,2,high,medium,family,16.72,low
academic,35,medium,night,8,8,repeated,moderate,8,6,medium,medium,college,52.33,medium
household,103,medium,night,3,9,new,unclear,6,1,high,low,individual,52.64,medium
health,77,low,evening,8,7,new,clear,10,6,medium,high,individual,39.04,medium
academic,73,high,morning,6,1,repeated,clear,7,5,medium,low,individual,57.96,medium
academic,56,high,afternoon,9,1,repeated,unclear,1,2,medium,medium,college,50.1,medium
household,116,high,morning,1,4,repeated,moderate,9,0,low,medium,family,43.24,medium
academic,76,low,evening,9,2,repeated,moderate,3,0,low,medium,college,26.5,low
personal_admin,25,low,morning,8,9,repeated,moderate,6,3,medium,high,work,7.15,low
health,20,low,evening,10,4,new,moderate,8,6,low,medium,work,28.34,low
communication,55,medium,morning,8,5,repeated,clear,2,7,low,low,college,20.41,low
personal_admin,20,high,evening,8,2,new,moderate,1,7,medium,medium,individual,66.09,high
health,22,low,evening,10,9,repeated,clear,6,5,low,low,family,-0.32,low
academic,51,high,morning,7,8,repeated,moderate,6,1,low,low,work,19.92,low
personal_admin,60,medium,evening,3,7,new,unclear,9,2,low,medium,family,47.27,medium
communication,32,low,morning,6,7,repeated,clear,5,0,low,medium,individual,-7.12,low
health,86,low,morning,10,8,new,clear,3,4,high,medium,individual,19.45,low
personal_admin,82,low,afternoon,8,10,new,moderate,5,1,high,high,individual,29.05,low
household,60,medium,evening,8,10,new,unclear,7,3,medium,low,college,30.38,low
academic,116,low,morning,4,7,repeated,unclear,2,5,medium,low,college,38.69,medium
academic,41,medium,afternoon,8,10,repeated,moderate,8,1,medium,medium,individual,21.23,low
household,108,medium,afternoon,8,7,new,unclear,4,0,medium,high,individual,49.53,medium
health,20,medium,night,1,6,repeated,moderate,2,2,high,medium,individual,41.24,medium
personal_admin,89,low,afternoon,5,9,new,moderate,7,1,medium,medium,individual,45.45,medium
academic,69,medium,afternoon,7,4,repeated,moderate,6,0,low,high,family,26.79,low
communication,64,low,evening,8,5,new,clear,7,5,low,high,individual,22.11,low
household,65,high,evening,9,6,repeated,unclear,7,0,low,medium,individual,29.94,low
academic,15,medium,morning,6,7,new,clear,4,5,medium,high,individual,41.56,medium
academic,79,low,morning,10,5,repeated,moderate,6,2,low,medium,individual,19.36,low
household,70,medium,afternoon,5,5,new,moderate,1,4,low,high,individual,53.93,medium
personal_admin,36,medium,evening,8,10,repeated,moderate,1,3,high,medium,family,28.85,low
household,23,low,morning,6,10,repeated,moderate,2,1,medium,medium,work,-11.45,low
communication,60,low,afternoon,2,6,new,unclear,5,7,medium,high,individual,65.19,high
finance,9,medium,morning,9,10,repeated,unclear,7,2,medium,medium,work,15.25,low
household,7,low,evening,9,9,repeated,unclear,8,0,medium,medium,family,0.6,low
personal_admin,32,low,afternoon,1,6,new,moderate,1,6,medium,medium,individual,44.63,medium
personal_admin,94,medium,evening,9,8,new,unclear,8,0,high,low,individual,36.43,medium
household,91,medium,evening,5,4,new,clear,10,7,medium,high,college,68.48,high
communication,98,high,evening,9,7,new,moderate,1,1,high,low,college,34.39,low
household,76,low,evening,5,5,repeated,unclear,10,7,medium,medium,work,62.89,medium
household,104,low,evening,10,4,new,unclear,8,1,medium,medium,individual,43.76,medium
academic,33,medium,morning,6,2,repeated,moderate,1,7,medium,high,individual,57.37,medium
communication,81,medium,evening,9,9,new,clear,7,1,medium,high,family,32.62,low
communication,63,medium,night,7,5,repeated,moderate,2,3,medium,medium,college,26.34,low
academic,29,low,afternoon,4,6,repeated,moderate,2,6,medium,low,individual,33.91,low
household,26,low,morning,6,1,new,unclear,2,4,low,medium,family,24.9,low
personal_admin,114,medium,evening,8,4,repeated,clear,6,4,medium,medium,individual,26.7,low
academic,101,medium,afternoon,5,5,new,clear,3,4,medium,high,college,55.4,medium
academic,105,low,morning,4,4,new,clear,2,3,low,medium,family,24.32,low
communication,75,low,night,7,2,repeated,unclear,4,1,low,low,family,29.78,low
personal_admin,27,high,evening,3,1,repeated,moderate,8,3,medium,medium,individual,66.87,high
academic,74,high,evening,4,9,repeated,unclear,2,4,high,high,individual,73.17,high
finance,83,low,evening,7,4,new,clear,10,0,medium,high,college,44.99,medium
health,83,low,afternoon,5,8,repeated,unclear,5,2,low,medium,individual,29.79,low
academic,44,low,afternoon,1,8,repeated,moderate,1,3,medium,low,individual,15.83,low
finance,102,low,morning,6,4,new,unclear,9,1,low,medium,individual,46.36,medium
household,18,low,evening,9,8,repeated,clear,9,2,medium,high,individual,13.5,low
communication,33,low,afternoon,10,4,new,moderate,6,7,high,low,family,37.21,medium
communication,20,medium,evening,3,6,repeated,unclear,6,4,low,low,work,39.52,medium
communication,97,medium,afternoon,4,5,repeated,unclear,8,2,medium,medium,individual,58.02,medium
academic,91,high,evening,10,1,repeated,clear,4,7,medium,low,family,46.52,medium
health,14,medium,evening,2,9,new,clear,5,5,low,low,individual,25.42,low
household,51,low,evening,3,6,repeated,moderate,10,6,medium,high,individual,57.02,medium
academic,8,low,morning,5,10,new,clear,10,1,high,medium,individual,26.8,low
academic,16,high,evening,6,9,repeated,clear,5,7,low,low,college,25.57,low
communication,46,high,night,2,4,repeated,moderate,1,2,medium,high,individual,55.32,medium
finance,102,medium,morning,2,4,repeated,unclear,4,7,high,medium,family,82.82,high
academic,8,low,night,6,4,repeated,unclear,3,6,low,low,individual,26.63,low
communication,88,high,morning,1,2,new,unclear,7,5,high,low,individual,74.31,high
academic,96,low,night,2,3,repeated,unclear,4,5,medium,low,family,63.73,medium
communication,96,low,night,4,5,repeated,unclear,8,5,low,low,work,50.91,medium
academic,10,high,evening,1,4,new,unclear,3,3,high,medium,work,76.58,high
finance,18,high,morning,5,1,new,moderate,10,6,high,high,individual,87.36,high
household,39,medium,morning,3,8,repeated,clear,2,3,medium,high,work,15.95,low
personal_admin,51,low,afternoon,10,4,new,unclear,4,0,low,medium,college,28.52,low
academic,62,medium,evening,1,4,new,unclear,9,6,high,high,individual,106.29,high
household,69,medium,morning,4,7,new,moderate,7,6,high,low,individual,41.4,medium
academic,23,medium,evening,1,6,repeated,moderate,3,4,high,high,individual,48.48,medium
personal_admin,61,medium,evening,2,2,new,unclear,4,7,medium,high,family,84.01,high
personal_admin,69,high,afternoon,10,4,new,moderate,3,2,high,low,individual,50.01,medium
household,17,low,evening,7,2,repeated,unclear,4,4,low,low,individual,29.31,low
finance,12,low,evening,1,3,repeated,unclear,1,5,high,low,college,49.85,medium
health,22,low,evening,6,10,repeated,unclear,1,6,low,medium,work,9.78,low
communication,39,medium,evening,4,6,repeated,clear,6,2,high,high,college,47.12,medium
communication,91,medium,evening,6,9,new,unclear,10,1,medium,low,individual,31.46,low
academic,118,medium,morning,5,1,repeated,moderate,7,3,low,low,individual,47.6,medium
academic,120,low,afternoon,6,4,new,unclear,9,7,medium,medium,family,76.09,high
personal_admin,30,high,night,5,8,new,clear,1,1,medium,medium,college,37.15,medium
personal_admin,109,low,morning,2,4,repeated,unclear,8,1,medium,high,individual,43.86,medium
communication,42,low,morning,10,6,repeated,moderate,9,7,medium,low,work,15.74,low
household,88,medium,evening,4,1,new,moderate,10,4,high,high,work,76.11,high
household,70,low,night,7,10,repeated,moderate,6,5,high,low,family,25.38,low
finance,30,medium,morning,4,4,repeated,unclear,4,1,medium,medium,college,37.93,medium
personal_admin,61,low,morning,5,7,repeated,moderate,5,1,medium,medium,college,27.89,low
personal_admin,104,low,evening,2,6,repeated,moderate,1,7,medium,medium,family,37.36,medium
health,29,low,evening,3,9,repeated,moderate,1,0,medium,medium,college,5.03,low
communication,34,low,afternoon,5,3,repeated,clear,1,5,medium,high,college,35.93,medium
academic,86,low,night,4,5,repeated,unclear,5,4,medium,medium,family,50.4,medium
academic,11,low,evening,3,7,new,clear,5,5,medium,medium,work,39.26,medium
personal_admin,31,medium,evening,2,1,repeated,moderate,7,1,low,low,work,42.37,medium
communication,15,low,afternoon,9,9,repeated,moderate,4,7,medium,low,individual,17.99,low
academic,105,medium,night,2,9,repeated,moderate,10,6,high,low,family,88.64,high
academic,12,medium,afternoon,9,3,new,moderate,10,6,high,low,individual,47.44,medium
finance,15,high,evening,4,8,repeated,moderate,9,4,medium,high,individual,52.48,medium
academic,92,high,morning,10,2,repeated,clear,8,6,medium,medium,individual,74.06,high
academic,34,low,afternoon,9,4,repeated,moderate,4,5,high,high,family,31.6,low
communication,98,low,evening,9,7,repeated,moderate,9,5,low,high,individual,27.48,low
finance,120,medium,morning,10,9,repeated,unclear,10,2,high,low,individual,24.48,low
finance,120,medium,afternoon,5,4,new,unclear,8,2,high,medium,work,70.91,high
academic,19,low,morning,7,1,new,moderate,1,7,medium,medium,individual,45.86,medium
finance,60,medium,evening,4,7,new,moderate,3,5,high,medium,individual,53.53,medium
academic,39,medium,evening,10,3,new,clear,3,6,medium,medium,college,50.26,medium
household,43,medium,afternoon,4,10,new,moderate,7,1,medium,high,college,21.41,low
finance,28,medium,evening,1,9,repeated,clear,7,4,medium,low,individual,26.7,low
communication,12,low,afternoon,10,10,new,moderate,1,1,low,high,work,11.47,low
health,47,low,afternoon,9,9,new,clear,8,6,high,high,individual,18.26,low
finance,46,low,evening,10,2,repeated,clear,8,4,medium,medium,individual,27.83,low
communication,88,low,morning,8,7,repeated,moderate,5,4,medium,low,family,20.12,low
academic,45,high,morning,9,8,repeated,moderate,7,7,medium,medium,work,50.33,medium
household,51,low,night,1,1,repeated,moderate,3,1,low,low,college,25.26,low
household,30,low,morning,2,5,repeated,unclear,10,5,high,medium,individual,36.71,medium
academic,56,low,afternoon,8,8,new,unclear,10,0,high,high,individual,45.15,medium
personal_admin,92,medium,evening,8,10,repeated,clear,9,0,medium,low,work,15.15,low
household,26,medium,evening,1,2,repeated,unclear,4,5,high,medium,college,71.04,high
personal_admin,9,medium,evening,10,1,repeated,unclear,3,2,low,low,college,28.39,low
communication,19,high,morning,5,10,repeated,moderate,10,0,low,low,individual,23.47,low
health,40,medium,afternoon,6,4,repeated,clear,4,3,low,high,work,3.84,low
communication,105,low,evening,5,1,new,clear,9,2,low,high,individual,51.03,medium
communication,67,medium,morning,6,5,repeated,moderate,3,1,medium,low,individual,9.15,low
communication,97,high,afternoon,7,8,repeated,clear,6,7,medium,medium,individual,35.21,medium
academic,83,low,evening,10,8,repeated,moderate,5,4,high,high,individual,39.68,medium
finance,95,low,evening,6,9,repeated,clear,3,1,high,medium,family,16.54,low
household,53,medium,morning,3,5,repeated,unclear,5,7,medium,high,work,66.45,high
academic,59,low,night,6,8,new,moderate,2,7,medium,medium,individual,50.03,medium
communication,76,medium,night,9,10,repeated,clear,5,0,high,medium,individual,21.15,low
academic,64,high,morning,6,5,repeated,unclear,8,7,medium,medium,work,73.89,high
personal_admin,61,low,afternoon,6,7,repeated,clear,6,7,medium,high,work,31.91,low
personal_admin,33,medium,morning,5,8,new,clear,8,4,medium,high,individual,49.33,medium
personal_admin,23,low,afternoon,1,8,repeated,clear,8,2,low,high,individual,18.56,low
household,99,low,evening,5,2,new,moderate,4,2,low,low,family,38.57,medium
academic,77,medium,evening,1,1,repeated,unclear,9,1,high,medium,individual,64.91,medium
personal_admin,14,low,morning,8,8,repeated,unclear,3,2,low,high,individual,6.67,low
household,105,medium,evening,1,9,repeated,unclear,4,6,medium,low,individual,64.5,medium
personal_admin,14,low,evening,8,7,repeated,moderate,4,0,medium,high,individual,11.15,low
personal_admin,101,low,evening,4,8,new,unclear,10,7,medium,medium,individual,84.02,high
personal_admin,93,low,afternoon,3,9,repeated,clear,2,7,medium,medium,work,22.24,low
household,61,high,morning,4,10,repeated,moderate,3,0,medium,low,college,2.2,low
household,58,low,evening,2,10,new,moderate,6,1,low,high,individual,59.8,medium
personal_admin,60,low,evening,3,10,new,unclear,6,3,high,medium,individual,63.63,medium
household,72,medium,evening,4,4,repeated,moderate,9,5,medium,low,individual,53.82,medium
academic,73,medium,morning,9,3,repeated,moderate,6,4,high,low,college,32.67,low
communication,91,low,afternoon,10,4,repeated,moderate,5,1,low,low,college,13.03,low
personal_admin,107,high,afternoon,2,10,new,clear,1,5,medium,high,college,61.0,medium
finance,59,high,evening,3,3,repeated,moderate,5,4,high,medium,work,68.98,high
communication,73,low,evening,4,2,repeated,moderate,2,2,medium,medium,family,32.93,low
academic,120,low,night,3,1,new,unclear,6,2,medium,high,college,93.15,high
communication,76,high,night,3,4,repeated,clear,3,5,medium,low,family,39.75,medium
personal_admin,85,low,evening,9,5,new,unclear,9,3,low,medium,family,37.76,medium
academic,5,high,night,5,8,repeated,unclear,8,3,low,low,work,51.18,medium
communication,118,low,morning,9,7,new,unclear,2,0,low,medium,work,28.72,low
personal_admin,16,medium,morning,6,6,repeated,clear,5,5,low,medium,family,26.27,low
finance,39,high,morning,10,6,repeated,clear,10,5,low,high,family,32.06,low
finance,120,low,afternoon,8,5,repeated,clear,8,6,medium,medium,individual,54.1,medium
finance,82,low,evening,1,4,repeated,unclear,6,7,medium,low,individual,64.45,medium
household,116,medium,afternoon,8,8,new,clear,10,6,high,medium,college,47.92,medium
household,86,high,evening,1,8,repeated,moderate,10,2,medium,high,individual,66.1,high
health,78,low,evening,9,10,repeated,clear,5,2,medium,low,individual,-11.45,low
health,83,high,evening,3,3,repeated,unclear,10,1,medium,low,family,61.84,medium
personal_admin,110,medium,morning,9,8,new,unclear,9,4,medium,low,individual,46.09,medium
personal_admin,37,high,afternoon,8,5,repeated,clear,3,7,low,high,individual,39.67,medium
communication,87,medium,evening,7,1,new,unclear,2,2,medium,medium,family,50.76,medium
communication,102,medium,afternoon,1,8,new,unclear,3,7,medium,medium,college,80.65,high
health,113,high,evening,7,7,new,moderate,4,5,medium,low,work,56.5,medium
communication,29,low,evening,2,7,new,moderate,3,1,low,low,individual,23.0,low
finance,20,high,morning,2,5,repeated,moderate,8,0,high,high,family,50.16,medium
health,12,low,morning,9,5,repeated,unclear,1,2,medium,high,work,12.59,low
personal_admin,39,low,morning,9,7,repeated,moderate,5,0,medium,low,family,-2.34,low
household,89,medium,night,1,9,repeated,moderate,2,0,high,medium,work,43.0,medium
household,87,low,morning,7,10,repeated,moderate,8,0,medium,medium,family,16.24,low
academic,50,medium,evening,5,1,new,unclear,3,4,medium,high,family,66.63,high
communication,15,medium,morning,6,8,repeated,moderate,1,4,low,medium,individual,20.9,low
academic,65,low,evening,1,10,repeated,moderate,10,6,medium,low,individual,55.29,medium
communication,48,low,morning,6,9,new,moderate,10,7,medium,medium,individual,52.82,medium
communication,15,medium,evening,1,7,repeated,unclear,2,3,medium,high,individual,46.51,medium
household,15,high,afternoon,4,2,repeated,unclear,7,1,high,high,family,56.32,medium
communication,26,high,evening,2,5,repeated,unclear,2,0,high,high,individual,60.81,medium
academic,89,low,afternoon,2,4,repeated,clear,4,6,low,medium,individual,27.13,low
academic,95,high,night,1,7,new,moderate,3,1,high,low,family,59.2,medium
health,86,low,evening,7,3,repeated,moderate,10,5,medium,medium,college,44.34,medium
household,66,low,evening,2,8,repeated,moderate,7,5,low,medium,individual,49.93,medium
academic,110,low,morning,7,5,new,unclear,6,6,medium,high,family,68.3,high
communication,52,low,morning,2,6,new,clear,4,7,low,high,work,38.68,medium
health,108,medium,evening,7,4,repeated,moderate,4,7,low,high,family,42.18,medium
academic,106,medium,night,4,7,new,clear,9,7,medium,high,individual,69.9,high
communication,98,high,morning,9,9,new,moderate,6,2,high,medium,college,54.01,medium
academic,67,medium,morning,1,4,repeated,moderate,4,1,low,high,family,56.49,medium
academic,55,low,evening,3,6,repeated,clear,6,5,medium,low,college,25.94,low
communication,49,medium,afternoon,5,6,repeated,clear,9,7,low,low,college,36.31,medium
communication,115,low,evening,7,1,repeated,moderate,8,7,high,high,college,79.45,high
communication,113,medium,evening,7,9,repeated,moderate,1,2,low,low,individual,12.95,low
finance,37,low,afternoon,6,2,repeated,unclear,5,4,low,medium,work,34.26,low
personal_admin,89,low,evening,5,10,repeated,clear,10,1,low,medium,family,19.03,low
communication,64,low,night,5,1,repeated,moderate,2,2,medium,medium,individual,43.8,medium
household,6,high,night,4,5,repeated,unclear,8,3,medium,medium,college,70.88,high
health,17,medium,morning,9,2,repeated,moderate,6,0,low,high,individual,2.72,low
household,70,high,evening,8,10,repeated,moderate,6,4,medium,medium,individual,36.09,medium
household,61,low,morning,9,5,repeated,clear,4,6,high,medium,family,10.36,low
academic,47,high,night,7,1,repeated,unclear,10,1,high,low,college,74.99,high
academic,49,low,afternoon,5,7,repeated,unclear,7,4,low,high,individual,33.35,low
personal_admin,35,medium,night,10,4,repeated,moderate,6,0,low,low,college,32.56,low
health,14,low,morning,2,8,new,unclear,7,3,medium,medium,individual,57.13,medium
finance,27,low,morning,4,8,new,moderate,5,3,high,low,individual,20.72,low
household,90,high,night,6,7,new,unclear,8,1,medium,medium,family,70.63,high
academic,115,medium,night,8,1,repeated,unclear,6,1,high,medium,college,64.32,medium
academic,33,high,evening,5,3,repeated,unclear,7,4,medium,low,family,70.8,high
household,101,low,morning,9,6,new,unclear,6,3,low,low,work,16.28,low
communication,35,medium,morning,4,6,repeated,clear,8,0,medium,medium,college,5.12,low
finance,82,low,evening,6,6,repeated,moderate,2,5,low,low,family,20.84,low
finance,78,low,evening,4,2,repeated,clear,2,7,medium,medium,individual,32.48,low
household,22,high,night,6,8,new,unclear,2,2,medium,medium,individual,43.08,medium
personal_admin,15,medium,afternoon,10,3,repeated,unclear,4,2,medium,high,individual,24.32,low
finance,107,high,afternoon,3,5,new,unclear,1,2,medium,low,work,66.71,high
communication,51,low,evening,8,9,new,clear,1,0,medium,medium,individual,0.93,low
communication,7,high,afternoon,4,7,new,unclear,3,2,medium,high,college,50.06,medium
household,6,medium,afternoon,7,9,repeated,moderate,4,6,medium,high,college,18.95,low
academic,58,medium,afternoon,10,4,repeated,clear,8,4,medium,high,family,56.63,medium
household,76,low,evening,8,1,new,unclear,6,7,medium,low,family,57.39,medium
health,35,high,afternoon,9,10,new,unclear,4,2,medium,medium,individual,33.45,low
academic,12,high,night,2,3,repeated,moderate,9,0,low,medium,college,63.09,medium
academic,47,low,afternoon,3,5,new,unclear,8,3,high,medium,individual,66.5,high
academic,52,medium,morning,9,10,repeated,moderate,8,2,low,medium,college,25.07,low
academic,6,low,morning,7,1,repeated,moderate,1,2,low,high,individual,22.6,low
personal_admin,26,medium,night,7,7,repeated,unclear,6,2,low,medium,individual,30.41,low
finance,9,high,evening,4,1,repeated,moderate,8,2,low,medium,individual,65.46,high
communication,11,low,afternoon,1,8,repeated,unclear,6,3,medium,low,family,30.09,low
academic,24,medium,night,8,7,repeated,moderate,3,4,high,low,individual,32.72,low
communication,96,low,evening,10,2,repeated,clear,4,7,low,low,college,22.37,low
communication,81,medium,morning,9,7,new,unclear,9,3,medium,medium,family,39.95,medium
academic,6,high,morning,4,6,new,unclear,8,2,medium,high,individual,63.45,medium
household,36,low,night,1,7,repeated,moderate,9,7,low,low,family,47.22,medium
household,94,low,evening,9,1,repeated,unclear,2,7,medium,medium,individual,34.67,low
communication,7,medium,afternoon,5,7,repeated,clear,6,2,low,low,individual,-5.45,low
communication,45,medium,night,6,9,new,moderate,10,0,medium,high,individual,56.99,medium
academic,46,low,afternoon,2,8,new,unclear,8,3,medium,medium,individual,54.84,medium
